"|","|__name","|__scientific_name","|__gbif_id","|__iucn_status"
"0","Birds","Stenogobius marinus Watson, 1991","2377252","LEAST_CONCERN"
"15","Parrots","Chlorurus microrhinos (Bleeker, 1854)","5211130","LEAST_CONCERN"
"23","Black-bellied Plover","Pluvialis squatarola (Linnaeus, 1758)","2480327","LEAST_CONCERN"
"24","Black-bellied Whistling-Duck","Dendrocygna autumnalis (Linnaeus, 1758)","2498393","LEAST_CONCERN"
"26","Semipalmated Plover","Charadrius semipalmatus Bonaparte, 1825","2480295","LEAST_CONCERN"
"27","Greater White-fronted Goose","Anser albifrons x caerulescens","10556333","Not Available"
"28","Black Vulture","Coragyps atratus (Bechstein, 1793)","2481942","LEAST_CONCERN"
"29","American White Pelican","Pelecanus erythrorhynchos Gmelin, 1789","5229155","LEAST_CONCERN"
"30","Killdeer","Charadrius vociferus Linnaeus, 1758","2480320","LEAST_CONCERN"
"31","Red-headed Woodpecker","Melanerpes erythrocephalus (Linnaeus, 1758)","2478130","LEAST_CONCERN"
"33","Snow Goose","Anser caerulescens x canagicus","10498423","Not Available"
"34","Chimney Swift","Chaetura pelagica (Linnaeus, 1758)","4409023","VULNERABLE"
"35","American Oystercatcher","Haematopus palliatus Temminck, 1820","2480273","LEAST_CONCERN"
"36","Ross's Goose","Anser caerulescens x rossii","9826714","Not Available"
"37","Barn Owl","Tyto furcata (Temminck, 1827)","9568884","NOT_EVALUATED"
"39","Black Oystercatcher","Haematopus bachmani Audubon, 1838","2480272","LEAST_CONCERN"
"40","Turkey Vulture","Cathartes aura (Linnaeus, 1758)","2481930","LEAST_CONCERN"
"41","Brown Pelican","Pelecanus occidentalis Linnaeus, 1766","5229158","LEAST_CONCERN"
"42","Brant","Parotomys brantsii (A.Smith, 1834)","2438856","LEAST_CONCERN"
"43","Scaled Quail","Callipepla squamata (Vigors, 1830)","5228075","LEAST_CONCERN"
"44","Northern Gannet","Morus bassanus (Linnaeus, 1758)","2480964","LEAST_CONCERN"
"45","Rock Pigeon","Petrophassa rufipennis Collett, 1898","2496038","LEAST_CONCERN"
"46","Black-necked Stilt","Himantopus mexicanus (P.L.S.Müller, 1776)","5229128","LEAST_CONCERN"
"47","Acorn Woodpecker","Melanerpes formicivorus (Swainson, 1827)","2478133","LEAST_CONCERN"
"49","Pied-billed Grebe","Podilymbus podiceps (Linnaeus, 1758)","2482077","LEAST_CONCERN"
"50","American Avocet","Recurvirostra americana J.F.Gmelin, 1789","2480258","LEAST_CONCERN"
"51","Cackling Goose","Branta hutchinsii (Richardson, 1832)","5232452","LEAST_CONCERN"
"52","Vaux's Swift","Chaetura vauxi (J.K.Townsend, 1839)","5228612","LEAST_CONCERN"
"53","Osprey","Pandion lovensis Becker, 1985","8559107","NOT_EVALUATED"
"54","Crested Caracara","Caracara plancus (J.F.Miller, 1777)","2480989","LEAST_CONCERN"
"56","Spotted Sandpiper","Actitis macularius (Linnaeus, 1766)","2481798","LEAST_CONCERN"
"57","Canada Goose","Branta leucopsis x canadensis","9952178","Not Available"
"58","Great Blue Heron","Ardea herodias Linnaeus, 1758","9630752","LEAST_CONCERN"
"59","Solitary Sandpiper","Tringa solitaria A.Wilson, 1813","2481710","LEAST_CONCERN"
"60","Mute Swan","Cygnus olor (J.F.Gmelin, 1789)","2498343","LEAST_CONCERN"
"61","Purple Gallinule","Porphyrio martinica (Linnaeus, 1766)","5228136","LEAST_CONCERN"
"62","Western Screech-Owl","Megascops kennicottii (D.G.Elliot, 1867)","2497341","LEAST_CONCERN"
"63","Gila Woodpecker","Melanerpes uropygialis (S.F.Baird, 1854)","2478112","LEAST_CONCERN"
"64","Swallows","Cecropis abyssinica (Guerin-Meneville, 1843)","6095032","LEAST_CONCERN"
"65","Greater Yellowlegs","Tringa melanoleuca (J.F.Gmelin, 1789)","2481720","LEAST_CONCERN"
"66","Swallow-tailed Kite","Elanoides forficatus (Linnaeus, 1758)","2480461","LEAST_CONCERN"
"67","Trumpeter Swan","Cygnus buccinator Richardson, 1831","2498345","LEAST_CONCERN"
"68","White-throated Swift","Aeronautes saxatalis (Woodhouse, 1853)","2477108","LEAST_CONCERN"
"70","Willet","Tringa semipalmata (J.F.Gmelin, 1789)","5789298","LEAST_CONCERN"
"71","Great Egret","Ardea modesta J.E.Gray, 1831","6066379","NOT_EVALUATED"
"72","Tundra Swan","Cygnus columbianus (Ord, 1815)","2498338","LEAST_CONCERN"
"73","California Quail","Callipepla californica (Shaw, 1798)","5228080","LEAST_CONCERN"
"74","Red-throated Loon","Gavia stellata (Pontoppidan, 1763)","2481958","LEAST_CONCERN"
"75","Brandt's Cormorant","Urile penicillatus (J.F.Brandt, 1837)","10682451","LEAST_CONCERN"
"76","Band-tailed Pigeon","Patagioenas fasciata (Say, 1822)","2495266","LEAST_CONCERN"
"77","Yellow-billed Cuckoo","Coccyzus americanus (Linnaeus, 1758)","2496287","LEAST_CONCERN"
"78","Lesser Yellowlegs","Tringa flavipes (J.F.Gmelin, 1789)","2481721","LEAST_CONCERN"
"79","Golden-fronted Woodpecker","Melanerpes aurifrons (Wagler, 1829)","2478081","LEAST_CONCERN"
"80","Verdin","Auriparus flaviceps (Sundevall, 1850)","2487397","LEAST_CONCERN"
"81","Wood Duck","Aix sponsa (Linnaeus, 1758)","2498387","LEAST_CONCERN"
"82","Whimbrel","Numenius phaeopus (Linnaeus, 1758)","2481784","LEAST_CONCERN"
"83","White-tailed Kite","Elanus leucurus (Vieillot, 1818)","2480367","LEAST_CONCERN"
"84","Horned Grebe","Podiceps auritus (Linnaeus, 1758)","2482059","VULNERABLE"
"85","Snowy Egret","Egretta thula (Molina, 1782)","2480873","LEAST_CONCERN"
"86","Long-billed Curlew","Numenius americanus Bechstein, 1812","2481794","LEAST_CONCERN"
"87","Gadwall","Mareca strepera (Linnaeus, 1758)","9362027","LEAST_CONCERN"
"88","Eastern Screech-Owl","Megascops asio (Linnaeus, 1758)","2497415","LEAST_CONCERN"
"90","Broad-billed Hummingbird","Cynanthus latirostris Swainson, 1827","5228542","LEAST_CONCERN"
"91","Marbled Godwit","Limosa fedoa (Linnaeus, 1758)","2481684","LEAST_CONCERN"
"92","American Wigeon","Mareca americana x penelope","10863734","Not Available"
"93","Mississippi Kite","Ictinia mississippiensis (A.Wilson, 1811)","2480719","LEAST_CONCERN"
"94","American Kestrel","Falco sparverius Linnaeus, 1758","9685907","LEAST_CONCERN"
"95","Red-bellied Woodpecker","Melanerpes carolinus (Linnaeus, 1758)","2478106","LEAST_CONCERN"
"97","Ruddy Turnstone","Arenaria interpres (Linnaeus, 1758)","2481776","LEAST_CONCERN"
"98","American Black Duck","Anas rubripes x platyrhynchos","10324773","Not Available"
"99","Little Blue Heron","Egretta caerulea (Linnaeus, 1758)","2480894","LEAST_CONCERN"
"100","Black Turnstone","Arenaria melanocephala (Vigors, 1829)","5229406","LEAST_CONCERN"
"102","Mallard","Mareca strepera x Anas platyrhynchos","10853972","Not Available"
"103","Gambel's Quail","Callipepla gambelii (Gambel, 1843)","5228072","LEAST_CONCERN"
"104","Neotropic Cormorant","Phalacrocorax brasilianus (Gmelin, 1789)","9399113","LEAST_CONCERN"
"105","Eurasian Collared-Dove","Streptopelia decaocto (Frivaldszky, 1838)","2495696","LEAST_CONCERN"
"106","Surfbird","Calidris virgata (J.F.Gmelin, 1789)","7964835","LEAST_CONCERN"
"107","Ruby-throated Hummingbird","Archilochus colubris (Linnaeus, 1758)","5228514","LEAST_CONCERN"
"108","Bald Eagle","Haliaeetus leucocephalus (Linnaeus, 1766)","2480446","LEAST_CONCERN"
"109","Mottled Duck","Anas fulvigula Ridgway, 1874","2498080","LEAST_CONCERN"
"110","Common Gallinule","Gallinula chloropus (Linnaeus, 1758)","5228199","LEAST_CONCERN"
"111","Great Horned Owl","Bubo virginianus (J.F.Gmelin, 1788)","5959118","LEAST_CONCERN"
"112","Yellow-bellied Sapsucker","Sphyrapicus varius (Linnaeus, 1766)","2478605","LEAST_CONCERN"
"114","Sanderling","Calidris alba (Pallas, 1764)","2481748","LEAST_CONCERN"
"115","Tricolored Heron","Egretta tricolor (Statius Muller, 1776)","2480881","LEAST_CONCERN"
"116","Blue-winged Teal","Spatula discors (Linnaeus, 1766)","9422220","LEAST_CONCERN"
"117","Semipalmated Sandpiper","Calidris pusilla (Linnaeus, 1766)","2481764","NEAR_THREATENED"
"118","Red-necked Grebe","Podiceps grisegena (Boddaert, 1783)","2482051","LEAST_CONCERN"
"120","Northern Harrier","Circus cyaneus (Linnaeus, 1766)","2480487","LEAST_CONCERN"
"121","Western Sandpiper","Calidris mauri (Cabanis, 1857)","2481742","LEAST_CONCERN"
"122","Cinnamon Teal","Spatula cyanoptera (Vieillot, 1816)","9345027","LEAST_CONCERN"
"123","Black-chinned Hummingbird","Archilochus alexandri (Bourcier & Mulsant, 1846)","5228513","LEAST_CONCERN"
"124","Red-naped Sapsucker","Sphyrapicus nuchalis S.F.Baird, 1858","9406038","LEAST_CONCERN"
"126","Least Sandpiper","Calidris minutilla (Vieillot, 1819)","2481745","LEAST_CONCERN"
"127","Reddish Egret","Egretta rufescens (Gmelin, 1789)","2480888","NEAR_THREATENED"
"128","Northern Shoveler","Spatula clypeata (Linnaeus, 1758)","8332393","LEAST_CONCERN"
"129","Dunlin","Calidris alpina (Linnaeus, 1758)","2481759","LEAST_CONCERN"
"130","Northern Pintail","Mareca penelope x Anas acuta","10838105","Not Available"
"131","Northern Bobwhite","Colinus virginianus (Linnaeus, 1758)","9791464","NEAR_THREATENED"
"132","Pacific Loon","Gavia pacifica (Lawrence, 1858)","2481955","LEAST_CONCERN"
"133","Wood Stork","Mycteria americana Linnaeus, 1758","2481937","LEAST_CONCERN"
"134","Double-crested Cormorant","Phalacrocorax auritus (Lesson, 1831)","2481875","LEAST_CONCERN"
"135","Sharp-shinned Hawk","Accipiter striatus Vieillot, 1808","9740253","LEAST_CONCERN"
"136","Merlin","Falco columbarius Linnaeus, 1758","9813242","LEAST_CONCERN"
"137","White-winged Dove","Zenaida asiatica (Linnaeus, 1758)","2495370","LEAST_CONCERN"
"138","Monk Parakeet","Myiopsitta monachus (Boddaert, 1783)","2479407","LEAST_CONCERN"
"139","Black-billed Cuckoo","Coccyzus erythropthalmus (A.Wilson, 1811)","2496286","LEAST_CONCERN"
"140","Snowy Owl","Bubo scandiacus (Linnaeus, 1758)","5959143","VULNERABLE"
"141","Common Nighthawk","Chordeiles minor (J.R.Forster, 1771)","2497035","LEAST_CONCERN"
"142","Belted Kingfisher","Megaceryle alcyon (Linnaeus, 1758)","2475472","LEAST_CONCERN"
"144","Black Guillemot","Cepphus grylle (Linnaeus, 1758)","2481312","LEAST_CONCERN"
"145","Black-legged Kittiwake","Rissa tridactyla (Linnaeus, 1758)","2481205","VULNERABLE"
"146","Short-billed Dowitcher","Limnodromus griseus (J.F.Gmelin, 1789)","2481672","LEAST_CONCERN"
"147","Green-winged Teal","Anas crecca x carolinensis","9870452","Not Available"
"148","Cattle Egret","Bubulcus coromandus (Boddaert, 1783)","6066393","NOT_EVALUATED"
"149","Wilson's Snipe","Gallinago delicata (Ord, 1825)","2481817","LEAST_CONCERN"
"150","Red-breasted Sapsucker","Sphyrapicus ruber (J.F.Gmelin, 1788)","2478597","LEAST_CONCERN"
"152","Anna's Hummingbird","Calypte anna (R.Lesson, 1829)","2476674","LEAST_CONCERN"
"153","Canvasback","Aythya valisineria (A.Wilson, 1814)","2498256","LEAST_CONCERN"
"154","American Woodcock","Scolopax minor J.F.Gmelin, 1789","2481695","LEAST_CONCERN"
"155","Cooper's Hawk","Accipiter cooperii (Bonaparte, 1828)","2480621","LEAST_CONCERN"
"157","Eared Grebe","Podiceps nigricollis C.L.Brehm, 1831","2482065","LEAST_CONCERN"
"158","Wilson's Phalarope","Phalaropus tricolor (Vieillot, 1819)","5229389","LEAST_CONCERN"
"159","Redhead","Paragobiodon echinocephalus (Rüppell, 1830)","2378093","LEAST_CONCERN"
"160","Green Heron","Butorides virescens (Linnaeus, 1758)","9539567","LEAST_CONCERN"
"161","Ring-necked Duck","Aythya fuligula x collaris","10545600","Not Available"
"162","American Coot","Fulica americana Gmelin, 1789","2474393","LEAST_CONCERN"
"163","Northern Pygmy-Owl","Glaucidium californicum P.L.Sclater, 1857","5232157","LEAST_CONCERN"
"164","Ladder-backed Woodpecker","Dryobates scalaris (Wagler, 1829)","8959883","LEAST_CONCERN"
"166","Harris's Hawk","Parabuteo unicinctus (Temminck, 1824)","2480410","LEAST_CONCERN"
