"|","|__name","|__description"
"0","Birds","Birds are a group of warm-blooded vertebrates constituting the class Aves (Latin: [ˈaveːs]), characterised by feathers, toothless beaked jaws, the laying of hard-shelled eggs, a high metabolic rate, a four-chambered heart, and a strong yet lightweight skeleton. Birds live worldwide and range in size from the 5.5 cm (2.2 in) bee hummingbird to the 2.8 m (9 ft 2 in) common ostrich. There are over 11,000 living species and they are split into 44 orders. More than half are passerine or ""perching"" birds. Birds have wings whose development varies according to species; the only known groups without wings are the extinct moa and elephant birds. Wings, which are modified forelimbs, gave birds the ability to fly, although further evolution has led to the loss of flight in some birds, including ratites, penguins, and diverse endemic island species. The digestive and respiratory systems of birds are also uniquely adapted for flight. Some bird species of aquatic environments, particularly seabirds and some waterbirds, have further evolved for swimming. The study of birds is called ornithology.\nBirds are feathered theropod dinosaurs and constitute the only known living dinosaurs. Likewise, birds are considered reptiles in the modern cladistic sense of the term, and their closest living relatives are the crocodilians. Birds are descendants of the primitive avialans (whose members include Archaeopteryx) which first appeared during the Late Jurassic. According to some estimates, modern birds (Neornithes) evolved in the Late Cretaceous or between the Early and Late Cretaceous (100 Ma) and diversified dramatically around the time of the Cretaceous–Paleogene extinction event 66 million years ago, which killed off the pterosaurs and all non-ornithuran dinosaurs.\nMany social species preserve knowledge across generations (culture). Birds are social, communicating with visual signals, calls, and songs, and participating in such behaviour as cooperative breeding and hunting, flocking, and mobbing of predators. The vast majority of bird species are socially (but not necessarily sexually) monogamous, usually for one breeding season at a time, sometimes for years, and rarely for life. Other species have breeding systems that are polygynous (one male with many females) or, rarely, polyandrous (one female with many males). Birds produce offspring by laying eggs which are fertilised through sexual reproduction. They are usually laid in a nest and incubated by the parents. Most birds have an extended period of parental care after hatching.\nMany species of birds are economically important as food for human consumption and raw material in manufacturing, with domesticated and undomesticated birds being important sources of eggs, meat, and feathers. Songbirds, parrots, and other species are popular as pets. Guano (bird excrement) is harvested for use as a fertiliser. Birds figure throughout human culture. About 120 to 130 species have become extinct due to human activity since the 17th century, and hundreds more before then. Human activity threatens about 1,200 bird species with extinction, though efforts are underway to protect them. Recreational birdwatching is an important part of the ecotourism industry."
"1","Ducks, Geese, and Swans","The Anatidae are the biological family of water birds that includes ducks, geese, and swans. The family has a cosmopolitan distribution, occurring on all the world's continents except Antarctica. These birds are adapted for swimming, floating on the water surface, and, in some cases, diving in at least shallow water. The family contains around 174 species in 43 genera (the magpie goose is no longer considered to be part of the Anatidae and is now placed in its own family, Anseranatidae). They are generally herbivorous and are monogamous breeders. A number of species undertake annual migrations. A few species have been domesticated for agriculture, and many others are hunted for food and recreation. Five species have become extinct since 1600, and many more are threatened with extinction."
"2","Grouse, Quail, and Allies","The Phasianidae are a family of heavy, ground-living birds, which includes pheasants, partridges, junglefowl, chickens, turkeys, Old World quail, and peafowl. The family includes many of the most popular gamebirds. The family includes 185 species divided into 54 genera. It was formerly broken up into two subfamilies, the Phasianinae and the Perdicinae. However, this treatment is now known to be paraphyletic and polyphyletic, respectively, and more recent evidence supports breaking it up into two subfamilies: Rollulinae and Phasianinae, with the latter containing multiple tribes within two clades. The New World quail (Odontophoridae) and guineafowl (Numididae) were formerly sometimes included in this family, but are now typically placed in families of their own; conversely, grouse and turkeys, formerly often treated as distinct families (Tetraonidae and Meleagrididae, respectively), are now known to be deeply nested within Phasianidae, so they are now included in the present family."
"3","Loons","Loons (North American English) or divers (British / Irish English) are a group of aquatic birds found in much of North America and northern Eurasia. All living species of loons are members of the genus Gavia, family Gaviidae and order Gaviiformes."
"4","Grebes","Grebes () are aquatic diving birds in the order Podicipediformes (). Grebes are widely distributed freshwater birds, with some species also found in marine habitats during migration and winter. Most grebes fly, although some flightless species exist, most notably in stable lakes. The order contains a single family, the Podicipedidae, which includes 22 species in six extant genera. \nAlthough, superficially, they resemble other diving birds such as loons and coots, they are most closely related to flamingos, as supported by morphological, molecular and paleontological data. Many species are monogamous and are known for their courtship displays, with the pair performing synchronized dances across the water's surface. The birds build floating vegetative nests where they lay several eggs. About a third of the world's grebes are listed at various levels of conservation concerns—the biggest threats including habitat loss, the introduction of invasive predatory fish and human poaching. As such, three species have gone extinct."
"5","Storks","Storks are large, long-legged, long-necked wading birds with long, stout bills. They belong to the family Ciconiidae, and make up the order Ciconiiformes . Ciconiiformes previously included a number of other families, such as herons and ibises, but those families have been moved to other orders. \nStorks dwell in many regions and tend to live in drier habitats than the closely related herons, spoonbills and ibises; they also lack the powder down that those groups use to clean off fish slime. Bill-clattering is an important mode of communication at the nest. Many species are migratory. Most storks eat frogs, fish, insects, earthworms, small birds and small mammals. There are 20 living species of storks in six genera.\nVarious terms are used to refer to groups of storks, two frequently used ones being a muster of storks and a phalanx of storks.\nStorks tend to use soaring, gliding flight, which conserves energy.  Soaring requires thermal air currents. Ottomar Anschütz's famous 1884 album of photographs of storks inspired the design of Otto Lilienthal's experimental gliders of the late nineteenth century. Storks are heavy, with wide wingspans: the marabou stork, with a wingspan of 3.2 m (10 ft 6 in) and weight up to 8 kg (18 lb), joins the Andean condor in having the widest wingspan of all living land birds.\nTheir nests are often very large and may be used for many years. Some nests have been known to grow to over 2 metres (6 ft 7 in) in diameter and about 3 metres (9.8 ft) in depth. All storks were once thought to be monogamous, but this is only partially true. While storks are generally socially monogamous, some species exhibit regular extra-pair breeding.\nPopular conceptions of storks' fidelity, serial monogamy, and doting parental care contribute to their prominence in mythology and culture, especially in western folklore as the deliverers of newborn humans.\nAll 20 stork species have been assessed by the IUCN and carry a confident Red List status. However, the assessment for several species were based on incorrect assumptions and a general absence of sound information on stork habits."
"6","Frigatebirds, Boobies, Cormorants, Darters, and Allies","Frigatebirds are a family of seabirds called Fregatidae which are found across all tropical and subtropical oceans. The five extant species are classified in a single genus, Fregata. All have predominantly black plumage, long, deeply forked tails and long hooked bills. Females have white underbellies and males have a distinctive red gular pouch, which they inflate during the breeding season to attract females. Their wings are long and pointed and can span up to 2.3 metres (7.5 ft), the largest wing area to body weight ratio of any bird. Able to soar for weeks on wind currents, frigatebirds spend most of the day in flight hunting for food, and roost on trees or cliffs at night. Their main prey are fish and squid, caught when chased to the water surface by large predators such as tuna. Frigatebirds are referred to as kleptoparasites as they occasionally rob other seabirds for food, and are known to snatch seabird chicks from the nest. Seasonally monogamous, frigatebirds nest colonially. A rough nest is constructed in low trees or on the ground on remote islands. A single egg is laid each breeding season. The duration of parental care is among the longest of any bird species; frigatebirds are only able to breed every other year. The Fregatidae are a sister group to Suloidea which consists of cormorants, darters, gannets, and boobies. Three of the five extant species of frigatebirds are widespread (the magnificent, great and lesser frigatebirds), while two are endangered (the Christmas Island and Ascension Island frigatebirds) and restrict their breeding habitat to one small island each. The oldest fossils date to the early Eocene, around 50 million years ago. Classified in the genus Limnofregata, the three species had shorter, less-hooked bills and longer legs, and lived in a freshwater environment."
"7","Pelicans, Herons, Ibises, and Allies","The Pelecaniformes are an order of medium-sized and large waterbirds found worldwide. As traditionally—but erroneously—defined, they encompass all birds that have feet with all four toes webbed. Hence, they were formerly also known by such names as totipalmates or steganopodes. Most have a bare throat patch (gular patch), and the nostrils have evolved into dysfunctional slits, forcing them to breathe through their mouths. They also have a pectinate nail on their longest toe. This is shaped like a comb and is used to brush out and separate their feathers. They feed on fish, squid, or similar marine life. Nesting is colonial, but individual birds are monogamous. The young are altricial, hatching from the egg helpless and naked in most. They lack a brood patch. The pelicans, shoebill and hamerkop form a clade within the order (suborder Pelecani). The relationships between Pelecani, herons (Ardeidae) and ibises and spoonbills (Threskiornithidae) are unclear. The Fregatidae (frigatebirds), Sulidae (gannets and boobies), Phalacrocoracidae (cormorants and shags), Anhingidae (darters), and Phaethontidae (tropicbirds) were traditionally placed in the Pelecaniformes, but molecular and morphological studies indicate they are not such close relatives. They have been placed in their own orders, Suliformes and Phaethontiformes, respectively."
"8","Hawks, Kites, Eagles, and Allies","The Accipitridae is one of the four families within the order Accipitriformes, and is a family of small to large birds of prey with strongly hooked bills and variable morphology based on diet. They feed on a range of prey items from insects to medium-sized mammals, with a number feeding on carrion and a few feeding on fruit. The Accipitridae have a cosmopolitan distribution, being found on all the world's continents (except Antarctica) and a number of oceanic island groups. Some species are migratory. The family contains 256 species which are divided into 12 subfamilies and 75 genera. Many well-known birds such as hawks, eagles, kites, harriers and Old World vultures are included in this group. The osprey is usually placed in a separate family (Pandionidae), as is the secretary bird (Sagittariidae), and the New World vultures are also usually now regarded as a separate family or order. Karyotype data indicate the accipitrids analysed are indeed a distinct monophyletic group."
"9","Caracaras and Falcons","The falcons and caracaras are around 65 species of diurnal birds of prey that make up the family Falconidae (representing all extant species in the order Falconiformes). The family likely originated in South America during the Paleocene and is divided into three subfamilies: Herpetotherinae, which includes the laughing falcon and forest falcons; Polyborinae, which includes the spot-winged falconet and the caracaras; and Falconinae, the falcons and kestrels (Falco) and falconets (Microhierax)."
